stateid,statedescription,sectorid,sectorname,price,sales,price-units,sales-units,year,month
IL,Illinois,RES,residential,15.78,4454.67763,cents per kilowatt-hour,million kilowatt hours,2025,1
NY,New York,COM,commercial,20.37,6271.84439,cents per kilowatt-hour,million kilowatt hours,2025,1
NY,New York,IND,industrial,10.9,1385.13384,cents per kilowatt-hour,million kilowatt hours,2025,1
NY,New York,RES,residential,25.34,5054.94858,cents per kilowatt-hour,million kilowatt hours,2025,1
TX,Texas,COM,commercial,8.46,13423.90748,cents per kilowatt-hour,million kilowatt hours,2025,1
TX,Texas,IND,industrial,6.63,14306.14508,cents per kilowatt-hour,million kilowatt hours,2025,1
TX,Texas,RES,residential,14.67,15011.41404,cents per kilowatt-hour,million kilowatt hours,2025,1
CA,California,COM,commercial,23.19,9539.86424,cents per kilowatt-hour,million kilowatt hours,2024,12
CA,California,IND,industrial,19.41,3508.07767,cents per kilowatt-hour,million kilowatt hours,2024,12
CA,California,RES,residential,30.62,7063.33774,cents per kilowatt-hour,million kilowatt hours,2024,12
CO,Colorado,COM,commercial,11.04,1745.28895,cents per kilowatt-hour,million kilowatt hours,2024,12
CO,Colorado,IND,industrial,8.46,1227.5584,cents per kilowatt-hour,million kilowatt hours,2024,12
CO,Colorado,RES,residential,15.1,1692.22442,cents per kilowatt-hour,million kilowatt hours,2024,12
IL,Illinois,COM,commercial,11.77,3787.06451,cents per kilowatt-hour,million kilowatt hours,2024,12
IL,Illinois,IND,industrial,9.05,3795.22054,cents per kilowatt-hour,million kilowatt hours,2024,12
IL,Illinois,RES,residential,15.96,3840.10654,cents per kilowatt-hour,million kilowatt hours,2024,12
NY,New York,COM,commercial,18.72,6059.89117,cents per kilowatt-hour,million kilowatt hours,2024,12
NY,New York,IND,industrial,9.81,1285.6792,cents per kilowatt-hour,million kilowatt hours,2024,12
NY,New York,RES,residential,24.41,4421.23906,cents per kilowatt-hour,million kilowatt hours,2024,12
TX,Texas,COM,commercial,8.52,12360.32275,cents per kilowatt-hour,million kilowatt hours,2024,12
TX,Texas,IND,industrial,6.23,14694.20426,cents per kilowatt-hour,million kilowatt hours,2024,12
TX,Texas,RES,residential,15.36,11067.5171,cents per kilowatt-hour,million kilowatt hours,2024,12
CA,California,COM,commercial,22.48,8805.51124,cents per kilowatt-hour,million kilowatt hours,2024,11
CA,California,IND,industrial,20.02,3478.85385,cents per kilowatt-hour,million kilowatt hours,2024,11
CA,California,RES,residential,30.18,5801.57882,cents per kilowatt-hour,million kilowatt hours,2024,11
CO,Colorado,COM,commercial,11.67,1628.10803,cents per kilowatt-hour,million kilowatt hours,2024,11
CO,Colorado,IND,industrial,8.07,1195.87787,cents per kilowatt-hour,million kilowatt hours,2024,11
CO,Colorado,RES,residential,14.9,1546.58356,cents per kilowatt-hour,million kilowatt hours,2024,11
IL,Illinois,COM,commercial,11.54,3414.63317,cents per kilowatt-hour,million kilowatt hours,2024,11
IL,Illinois,IND,industrial,8.83,3677.9708,cents per kilowatt-hour,million kilowatt hours,2024,11
IL,Illinois,RES,residential,17.06,2828.20263,cents per kilowatt-hour,million kilowatt hours,2024,11
NY,New York,COM,commercial,17.67,5448.42413,cents per kilowatt-hour,million kilowatt hours,2024,11
NY,New York,IND,industrial,9.0,1245.66048,cents per kilowatt-hour,million kilowatt hours,2024,11
